@relation taxi_clustered

@attribute Instance_number numeric
@attribute xValue numeric
@attribute yValue numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39}

@data
0,27629.842,36388.918,cluster33
1,27645.789,36397.013,cluster33
2,27702.795,36353.647,cluster33
3,27752.144,36315.841,cluster33
4,27804.065,36271.363,cluster33
5,27853.469,36219.101,cluster33
6,27899.501,36161.28,cluster33
7,27948.004,36123.473,cluster33
8,27963.372,36097.898,cluster33
9,27928.625,36086.779,cluster33
10,27876.052,36077.883,cluster33
11,27810.76,36066.764,cluster33
12,27735.303,36051.197,cluster33
13,27668.333,36034.517,cluster33
14,27610.693,36018.95,cluster33
15,27562.419,35994.487,cluster33
16,27527.68,35981.144,cluster33
17,27519.325,35945.561,cluster33
18,27537.331,35894.412,cluster17
19,27555.369,35834.366,cluster17
20,27575.105,35774.321,cluster17
21,27591.439,35716.5,cluster17
22,27606.068,35660.902,cluster17
23,27630.051,35599.745,cluster17
24,27648.948,35537.476,cluster17
25,27667.829,35479.655,cluster17
26,27682.438,35429.617,cluster17
27,27695.314,35389.587,cluster17
28,27711.621,35339.549,cluster17
29,27725.366,35293.959,cluster17
30,27742.485,35253.929,cluster17
31,27751.073,35226.13,cluster17
32,27753.66,35215.011,cluster17
33,27752.795,35219.459,cluster17
34,27755.357,35215.011,cluster17
35,27761.375,35193.884,cluster17
36,27770.792,35171.645,cluster17
37,27777.654,35151.63,cluster17
38,27785.378,35128.279,cluster17
39,27799.956,35087.137,cluster17
40,27811.127,35049.33,cluster17
41,27816.301,35027.091,cluster17
42,27799.292,35037.099,cluster17
43,27788.978,35072.681,cluster17
44,27770.96,35126.055,cluster17
45,27749.507,35190.548,cluster17
46,27727.186,35260.601,cluster17
47,27702.311,35332.877,cluster17
48,27677.421,35409.602,cluster17
49,27652.53,35486.326,cluster17
50,27631.1,35545.26,cluster17
51,27602.796,35627.544,cluster17
52,27567.615,35734.291,cluster17
53,27542.703,35817.687,cluster17
54,27522.914,35892.188,cluster17
55,27505.704,35957.793,cluster33
56,27485.99,36012.278,cluster33
57,27478.162,36064.54,cluster33
58,27514.456,36116.802,cluster33
59,27545.646,36172.399,cluster33
60,27511.512,36225.773,cluster33
61,27442.79,36224.661,cluster33
62,27374.19,36190.19,cluster33
63,27298.809,36153.496,cluster33
64,27221.735,36115.69,cluster33
65,27159.904,36085.667,cluster33
66,27102.272,36067.876,cluster33
67,27032.724,36060.092,cluster33
68,26963.224,36038.965,cluster33
69,26901.38,36012.278,cluster33
70,26851.414,35985.592,cluster33
71,26811.642,35955.569,cluster33
72,26787.916,35946.673,cluster33
73,26758.096,35981.144,cluster33
74,26718.915,36023.398,cluster33
75,26669.545,36067.876,cluster33
76,26625.282,36107.906,cluster33
77,26590.38,36140.153,cluster33
78,26577.563,36165.727,cluster33
79,26550.341,36185.742,cluster33
80,26526.521,36203.534,cluster33
81,26547.646,36227.997,cluster33
82,26580.623,36260.243,cluster33
83,26594.009,36313.617,cluster33
84,26604.858,36364.766,cluster33
85,26621.792,36374.774,cluster33
86,26626.953,36354.759,cluster33
87,26633.851,36323.624,cluster33
88,26639.893,36294.713,cluster33
89,26640.765,36288.042,cluster33
90,26640.003,36263.579,cluster33
91,26634.979,36244.676,cluster33
92,26619.778,36224.661,cluster33
93,26595.255,36201.31,cluster33
94,26575.807,36182.407,cluster33
95,26587.705,36176.847,cluster33
