@RELATION taxi

@ATTRIBUTE xValue REAL
@ATTRIBUTE yValue REAL

@DATA
26535.398, 33854.519
26536.483, 33859.545
26536.48, 33860.657
26535.627, 33861.768
26535.623, 33862.88
26533.926, 33862.88
26554.33, 33852.873
26586.626, 33840.641
26646.968, 33817.29
26620.626, 33826.186
26668.144, 33829.522
26692.666, 33855.097
26716.289, 33895.127
26739.895, 33939.605
26764.338, 33987.419
26794.789, 34016.329
26807.393, 34051.912
26820.897, 34073.039
26853.969, 34080.822
26898.919, 34089.718
26945.546, 34104.173
26992.173, 34118.629
27040.509, 34129.748
27093.089, 34140.868
27149.055, 34154.211
27185.529, 34159.771
27213.52, 34164.219
27254.225, 34173.114
27291.544, 34179.786
27318.678, 34186.458
27350.9, 34194.241
27391.605, 34203.137
27428.919, 34210.921
27467.086, 34217.592
27503.56, 34223.152
27533.239, 34229.824
27559.512, 34239.831
27595.969, 34249.839
27647.702, 34259.846
27677.386, 34265.406
27720.636, 34274.302
27760.492, 34283.197
27785.924, 34290.981
27816.439, 34300.988
27858.841, 34309.884
27907.182, 34318.78
27947.89, 34326.563
27980.119, 34332.123
27995.305, 34356.586
28005.311, 34404.4
28011.036, 34462.221
28025.261, 34516.707
28032.013, 34526.714
28038.773, 34534.498
28045.537, 34541.169
28052.302, 34547.841
28058.218, 34554.513
28065.826, 34562.297
28072.587, 34570.08
28079.347, 34577.864
28086.107, 34585.647
28092.863, 34594.543
28098.77, 34603.439
28105.522, 34613.446
28110.589, 34620.118
28115.652, 34627.902
28120.719, 34634.573
28124.941, 34640.133
28130.012, 34645.693
28133.415, 34643.469
28132.554, 34646.805
28133.432, 34639.021
28130.903, 34634.573
28127.525, 34630.125
28124.147, 34625.678
28122.474, 34619.006
28120.794, 34614.558
28118.273, 34607.886
28117.441, 34603.439
28116.609, 34598.991
28116.621, 34595.655
28116.625, 34594.543
28114.133, 34580.088
28123.468, 34580.088
28145.45, 34602.327
28167.411, 34630.125
28176.675, 34649.029
28162.194, 34663.484
28154.473, 34685.723
28166.275, 34706.85
28189.034, 34747.992
28226.174, 34801.366
28254.864, 34844.732
28272.548, 34881.426
28261.449, 34899.217
28231.685, 34915.896
28211.334, 34911.449
28188.53, 34882.538
28153.932, 34830.276
28133.69, 34796.918
28104.171, 34747.992
28081.395, 34711.298
28064.484, 34694.618
28044.974, 34692.395
28020.396, 34683.499
28000.874, 34684.611
27981.272, 34706.85
27952.27, 34746.88
27917.278, 34800.254
27881.396, 34864.747
27847.172, 34940.359
27818.855, 35024.867
27792.208, 35117.159
27762.146, 35215.011
27727.826, 35317.31
27695.236, 35410.714
27664.365, 35498.558
27635.196, 35585.29
27606.88, 35670.91
27580.241, 35762.09
27556.169, 35847.71
27529.556, 35932.218
27508.907, 36010.054
27510.372, 36073.436
27542.44, 36121.249
27562.62, 36171.287
27540.384, 36219.101
27482.628, 36235.78
27422.456, 36216.877
27348.784, 36176.847
27272.567, 36136.817
27185.339, 36091.227
27091.334, 36042.301
27006.633, 36001.159
26945.728, 35948.897
26924.771, 35877.732
26912.33, 35797.672
26862.466, 35742.075
26793.01, 35707.604
26709.116, 35676.47
26620.976, 35646.447
26533.671, 35619.76
26439.562, 35597.521
26334.382, 35586.402
26226.625, 35584.178
26122.243, 35587.514
26011.054, 35596.409
25887.959, 35613.089
25770.792, 35633.104
25653.615, 35656.455
25530.491, 35682.029
25409.065, 35707.604
25289.341, 35732.067
25172.167, 35755.418
25058.391, 35777.657
