@relation taxi_clustered

@attribute Instance_number numeric
@attribute xValue numeric
@attribute yValue numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39}

@data
0,29498.733,33599.348,cluster8
1,29337.763,33741.678,cluster8
2,29013.807,34113.069,cluster8
3,28423.656,34642.357,cluster38
4,28254.739,34878.09,cluster38
5,27993.609,35040.435,cluster38
6,27986.991,35222.794,cluster38
7,27999.723,34765.783,cluster38
8,28126.893,34799.142,cluster38
9,28195.69,34783.574,cluster38
10,27999.947,34933.688,cluster38
11,28034.582,35203.891,cluster38
12,27744.285,35226.13,cluster38
13,27554.716,35780.993,cluster17
14,27358.909,36425.923,cluster17
15,27137.137,36751.725,cluster17
16,27515.623,36493.752,cluster17
17,27888.437,36170.175,cluster17
18,28153.191,35708.716,cluster17
19,28151.482,35485.214,cluster17
20,27681.401,35480.767,cluster17
21,27505.794,35933.33,cluster17
22,27383.675,36381.446,cluster17
23,27419.599,36534.895,cluster17
24,27810.76,36066.764,cluster17
25,27555.369,35834.366,cluster17
26,27742.485,35253.929,cluster38
27,27816.301,35027.091,cluster38
28,27727.186,35260.601,cluster38
29,27545.646,36172.399,cluster17
30,26901.38,36012.278,cluster17
31,26526.521,36203.534,cluster17
32,26639.893,36294.713,cluster17
33,26723.942,36280.258,cluster17
34,26790.074,36293.602,cluster17
35,26402.837,36390.341,cluster17
36,26299.712,36522.663,cluster17
37,26345.115,36640.53,cluster17
38,26260.378,36610.507,cluster17
39,26124.665,36600.5,cluster17
40,25726.05,36806.21,cluster16
41,24958.7,37180.937,cluster16
42,24926.987,37790.285,cluster33
43,24875.238,38304.006,cluster33
44,25069.226,38635.367,cluster33
45,25336.539,38847.749,cluster33
46,25237.98,39151.311,cluster33
47,25194.311,39274.737,cluster33
48,25465.85,39233.595,cluster33
49,25510.929,39195.789,cluster33
50,25503.424,39157.983,cluster33
51,25471.429,39339.231,cluster33
52,25200.532,39190.229,cluster33
53,25133.377,39235.819,cluster33
54,25061.596,38634.255,cluster33
55,25505.787,38461.903,cluster33
56,25907.14,38172.796,cluster33
57,26134.604,37890.361,cluster33
58,26350.103,37637.948,cluster17
59,26881.717,37003.025,cluster17
60,27282.262,36504.872,cluster17
61,27453.021,36211.317,cluster17
62,27376.997,36351.423,cluster17
63,27430.247,36407.02,cluster17
64,27340.938,36468.178,cluster17
65,26899.481,37017.48,cluster17
66,26534.853,37448.917,cluster17
67,26253.242,38410.753,cluster33
68,26484.11,39330.335,cluster33
69,26426.905,40884.84,cluster33
70,26026.696,42102.424,cluster33
71,25437.563,43326.681,cluster4
72,25260.079,44681.035,cluster4
73,25070.6,45586.162,cluster4
74,24272.918,46454.594,cluster4
75,23709.568,46954.971,cluster4
76,22694.025,47689.97,cluster4
77,22322.645,48081.376,cluster4
78,22597.27,47748.903,cluster4
79,22921.642,47502.05,cluster4
80,23904.21,46760.38,cluster4
81,24462.555,46244.436,cluster4
82,24590.838,46142.136,cluster4
83,24797.372,45951.993,cluster4
84,25149.368,45345.98,cluster4
85,25323.382,44004.97,cluster4
86,25467.684,43193.247,cluster4
87,25954.489,42389.307,cluster4
88,26211.109,41490.852,cluster33
89,26541.494,40132.05,cluster33
90,26280.693,38565.314,cluster33
91,26411.42,37570.119,cluster17
92,26930.27,36948.54,cluster17
93,27345.62,36346.975,cluster17
94,27427.615,36197.974,cluster17
95,27397.21,36392.565,cluster17
96,27447.549,36548.238,cluster17
97,27639.829,36402.573,cluster17
98,28224.25,35766.538,cluster17
99,28403.917,35599.745,cluster17
100,28381.428,35038.211,cluster38
101,28053.072,34568.968,cluster38
102,28565.978,34037.456,cluster38
103,29584.176,33023.359,cluster8
104,30015.367,32600.818,cluster0
105,31049.871,31637.87,cluster0
106,31890.614,30575.958,cluster18
107,32402.292,30257.941,cluster18
108,33621.461,30111.164,cluster1
109,34245.119,29467.345,cluster1
110,34986.45,28928.05,cluster1
111,35882.348,28592.241,cluster23
112,36005.358,27910.616,cluster23
113,36228.003,27712.689,cluster23
114,35915.496,27873.922,cluster23
115,35717.052,27986.229,cluster23
116,35207.713,28286.455,cluster23
117,35060.625,28501.061,cluster1
118,34764.626,28962.52,cluster1
119,34205.987,29294.993,cluster1
120,33851.297,29796.482,cluster1
121,33542.333,29955.491,cluster1
122,33410.289,30242.374,cluster1
123,33330.367,30265.725,cluster1
124,31972.387,30514.801,cluster18
125,31601.91,30982.932,cluster18
126,31167.477,31530.011,cluster0
127,30231.024,32167.158,cluster0
128,30060.104,31813.558,cluster0
129,29848.902,32193.845,cluster0
130,29600.235,32392.883,cluster0
131,29545.435,32512.974,cluster0
132,29069.445,32671.983,cluster0
133,28783.146,32954.418,cluster8
134,28533.493,33203.495,cluster8
135,28264.438,33877.336,cluster38
136,28033.52,34349.914,cluster38
137,28025.84,34361.034,cluster38
138,28003.287,34492.244,cluster38
139,28065.793,34571.192,cluster38
140,28128.265,34659.036,cluster38
141,28210.483,34685.723,cluster38
142,28144.248,34696.842,cluster38
143,28103.591,34448.878,cluster38
144,28446.759,34143.092,cluster38
145,29464.857,33146.785,cluster8
146,29598.399,32859.902,cluster8
147,29535.108,33197.935,cluster8
148,29501.321,33155.681,cluster8
149,28689.402,33942.941,cluster8
150,28111.65,34563.408,cluster38
151,28182.266,34742.432,cluster38
152,28368.125,34740.208,cluster38
153,28404.07,34660.148,cluster38
154,28943.906,34193.129,cluster38
155,29128.179,33946.277,cluster8
156,28972.703,33767.253,cluster8
157,28820.574,33820.626,cluster8
158,28319.679,34308.772,cluster38
159,28261.743,34368.817,cluster38
160,28081.976,34555.625,cluster38
161,28098.737,34612.334,cluster38
162,28134.164,34670.156,cluster38
163,28080.928,34608.998,cluster38
164,28263.675,34306.548,cluster38
165,29019.226,33588.229,cluster8
166,29441.839,33172.36,cluster8
167,30563.156,32117.12,cluster0
168,30812.013,31880.275,cluster0
169,31190.791,31435.495,cluster0
170,31099.603,31313.181,cluster0
171,30767.854,31259.807,cluster0
172,30540.339,31463.294,cluster0
173,30372.343,31858.036,cluster0
174,30264.887,32190.509,cluster0
175,29919.789,32727.58,cluster0
176,29361.634,33279.107,cluster8
177,28957.541,33737.23,cluster8
178,28970.148,33769.477,cluster8
179,28933,33718.327,cluster8
180,28884.646,34154.211,cluster38
181,29027.507,34081.934,cluster8
182,29336.108,33730.558,cluster8
183,29868.692,33624.923,cluster8
184,30136.133,33392.526,cluster8
185,30386.986,32857.678,cluster0
186,30476.668,32720.909,cluster0
187,30779.36,32391.772,cluster0
188,31332.753,32004.813,cluster0
189,31522.817,31825.789,cluster0
190,32221.786,31166.403,cluster18
191,32367.545,31032.97,cluster18
192,32875.68,30746.087,cluster18
193,32959.691,31145.276,cluster18
194,33307.812,31141.941,cluster18
195,33664.447,31323.188,cluster1
196,33161.662,30975.148,cluster18
197,33449.221,30653.795,cluster1
198,32781.611,30314.65,cluster18
199,32323.122,30304.643,cluster18
200,31790.565,30742.751,cluster18
201,30730.032,31998.141,cluster0
202,30292.123,32383.988,cluster0
203,28976.471,33670.513,cluster8
204,28950.901,33698.312,cluster8
205,29003.065,33817.29,cluster8
206,28950.816,33720.551,cluster8
207,28687.675,33950.724,cluster8
208,28312.848,34319.892,cluster38
209,28251.447,34398.84,cluster38
210,28228.457,34418.855,cluster38
211,28213.93,34445.542,cluster38
212,28121.068,34541.169,cluster38
213,28092.909,34582.312,cluster38
214,28215.995,34800.254,cluster38
215,28416.9,34633.461,cluster38
216,28733.709,34342.131,cluster38
217,29154.593,33919.59,cluster8
218,29358.276,33704.984,cluster8
219,29683.945,33338.04,cluster8
220,29866.066,33003.344,cluster8
221,29833.506,33080.068,cluster8
222,29499.709,33567.102,cluster8
223,29420.769,33568.214,cluster8
224,29158.216,33641.603,cluster8
225,28976.038,33782.82,cluster8
226,28869.928,33787.268,cluster8
227,28291.56,34338.795,cluster38
228,28281.326,34352.138,cluster38
229,28266.831,34369.929,cluster38
230,28231.89,34408.848,cluster38
231,28207.116,34452.214,cluster38
232,28163.667,34496.692,cluster38
233,28105.705,34564.52,cluster38
234,28105.676,34572.304,cluster38
235,28093.741,34586.759,cluster38
236,28139.148,34699.066,cluster38
237,28206.635,34806.925,cluster38
238,27980.264,34293.205,cluster38
239,27995.797,34224.264,cluster38
240,28526.157,33571.55,cluster8
241,28212.461,33252.42,cluster8
242,27934.257,32968.873,cluster8
243,27410,32414.011,cluster0
244,27167.606,32070.418,cluster6
245,27457.437,32441.809,cluster0
246,27809.172,32822.096,cluster8
247,28322.437,33350.272,cluster8
248,28542.165,33602.684,cluster8
249,28169.064,33961.844,cluster38
250,28024.992,34361.034,cluster38
251,28033.45,34368.817,cluster38
252,28034.315,34364.37,cluster38
253,28078.432,34595.655,cluster38
254,28121.567,34634.573,cluster38
255,28100.505,34593.431,cluster38
256,28093.761,34581.2,cluster38
257,28089.518,34581.2,cluster38
258,28119.795,34654.588,cluster38
259,28333.017,34823.605,cluster38
260,28549.603,34998.181,cluster38
261,28706.896,35141.622,cluster38
262,28818.968,34904.777,cluster38
263,28560.66,34768.007,cluster38
264,28406.973,34790.246,cluster38
265,28122.892,34961.486,cluster38
266,27943.647,34783.574,cluster38
267,27721.23,35265.048,cluster38
268,27480.115,35994.487,cluster17
269,27161.122,36688.344,cluster17
270,26401.987,37599.03,cluster17
271,26183.219,38058.265,cluster33
272,26499.867,39431.522,cluster33
273,26513.882,40506.777,cluster33
274,26127.84,41785.519,cluster33
275,25514.597,43107.627,cluster4
276,25347.467,43900.446,cluster4
277,25223.492,44975.701,cluster4
278,24611.152,46148.808,cluster4
279,23566.029,47067.278,cluster4
280,22813.757,47597.678,cluster4
281,22517.332,47850.09,cluster4
282,22289.511,48113.622,cluster4
283,22573.485,47770.03,cluster4
284,23325.65,47262.981,cluster4
285,23779.346,46859.343,cluster4
286,24355.422,46357.854,cluster4
287,24647.519,45911.963,cluster4
288,24831.289,45945.321,cluster4
289,25287.957,45964.224,cluster4
290,25429.471,45963.112,cluster4
291,25423.528,45966.448,cluster4
292,25169.176,46008.702,cluster4
293,24804.25,45921.97,cluster4
294,24862.855,45880.828,cluster4
295,25254.292,44637.669,cluster4
296,25353.056,43751.445,cluster4
297,25923.255,42596.13,cluster4
298,26152.822,41672.1,cluster33
299,26476.085,40644.659,cluster33
300,26476.359,39363.693,cluster33
301,26353.434,38865.54,cluster33
302,26253.81,37762.486,cluster33
303,27002.678,36866.255,cluster17
304,27400.493,36190.19,cluster17
305,27415.639,36224.661,cluster17
306,27486.342,36380.334,cluster17
307,27599.928,36409.244,cluster17
308,27896.93,36167.951,cluster17
309,28132.149,35889.964,cluster17
310,28319.661,35666.462,cluster17
311,28516.426,35467.423,cluster38
312,28537.491,35282.84,cluster38
313,28341.627,35015.972,cluster38
314,28280.076,34910.337,cluster38
315,28183.048,34760.223,cluster38
316,28111.326,34650.141,cluster38
317,28112.17,34651.252,cluster38
318,28069.949,34594.543,cluster38
319,28075.927,34584.535,cluster38
320,28085.204,34600.103,cluster38
321,28105.41,34643.469,cluster38
322,28121.543,34641.245,cluster38
323,28101.345,34595.655,cluster38
324,28092.031,34590.095,cluster38
325,28207.1,34909.225,cluster38
326,28059.366,34929.24,cluster38
327,27808.725,35010.412,cluster38
328,27518.68,35889.964,cluster17
329,27388.586,36197.974,cluster17
330,27137.768,35636.439,cluster17
331,28156.317,36460.394,cluster17
332,28891.757,36942.98,cluster17
333,30127.907,37353.289,cluster17
334,31555.792,38130.542,cluster17
335,32798.418,38727.658,cluster29
336,34133.333,38568.65,cluster29
337,35200.976,38077.168,cluster29
338,35693.826,37180.937,cluster29
339,36316.618,36985.234,cluster29
340,36560.509,36378.11,cluster29
341,36332.604,36134.593,cluster29
342,36325.698,36159.056,cluster29
343,36215.019,36413.692,cluster29
344,35874.114,36556.022,cluster29
345,35391.542,36517.103,cluster29
346,34927.38,36349.199,cluster29
347,34796.509,36027.846,cluster29
348,34524.819,36065.652,cluster29
349,34331.378,35690.925,cluster29
350,33982.142,35048.218,cluster29
351,33799.925,34240.943,cluster8
352,33322.747,33522.624,cluster8
353,32890.312,33227.957,cluster8
354,32334.359,33422.549,cluster8
355,32075.192,33689.416,cluster8
356,31703.177,33952.948,cluster8
357,31128.137,34063.031,cluster8
358,30784.4,34065.255,cluster8
359,30407.403,33897.351,cluster8
360,30100.501,33812.843,cluster8
361,29818.466,33662.73,cluster8
362,29501.31,33591.565,cluster8
363,29159.931,33637.155,cluster8
364,28954.176,33729.447,cluster8
365,28945.783,33704.984,cluster8
366,29079.314,33852.873,cluster8
367,29362.519,33704.984,cluster8
368,29813.378,33661.618,cluster8
369,29974.5,33697.2,cluster8
370,30282.644,33896.239,cluster8
371,30619.219,33987.419,cluster8
372,30287.723,33899.575,cluster8
373,30113.17,33828.41,cluster8
374,29725.151,33650.498,cluster8
375,29349.559,33545.975,cluster8
376,29067.874,33738.342,cluster8
377,28930.437,33722.775,cluster8
378,28357.168,34269.854,cluster38
379,28376.759,34250.951,cluster38
380,28284.733,34348.802,cluster38
381,28265.109,34376.601,cluster38
382,28262.546,34381.049,cluster38
383,28246.338,34403.288,cluster38
384,28328.939,34328.787,cluster38
385,28661.381,34392.168,cluster38
386,28900.362,34260.958,cluster38
387,29182.98,34040.792,cluster8
388,29293.226,34063.031,cluster8
389,29341.52,34084.158,cluster8
390,29152.801,33944.053,cluster8
391,28946.597,33713.879,cluster8
392,28715.785,33924.038,cluster8
393,28344.383,34284.309,cluster38
394,28318.826,34309.884,cluster38
395,28306.903,34321.004,cluster38
396,28270.213,34373.265,cluster38
397,28254.87,34391.056,cluster38
398,28223.261,34446.654,cluster38
399,28402.115,34278.749,cluster38
400,28055.659,34557.849,cluster38
401,27752.086,35181.652,cluster38
402,27894.092,35102.704,cluster38
403,27794.975,35057.114,cluster38
404,27479.799,36081.219,cluster17
405,27094.696,36051.197,cluster17
406,27295.568,35877.732,cluster17
407,28094.613,36398.125,cluster17
408,29362.968,37068.63,cluster17
409,30583.626,37522.305,cluster17
410,31659.771,38215.05,cluster17
411,32822.991,38733.218,cluster29
412,33387.768,38758.793,cluster29
413,34616.912,38361.827,cluster29
414,35357.079,37711.337,cluster29
415,35775.708,37088.645,cluster29
416,36315.732,36993.018,cluster29
417,36498.957,36473.737,cluster29
418,36657.371,36523.775,cluster29
419,37327.644,36350.311,cluster29
420,37871.624,36325.848,cluster29
421,38153.272,36333.632,cluster29
422,38660.624,36338.079,cluster29
423,39302.437,36264.691,cluster29
424,39652.719,35967.8,cluster29
425,40151.326,35707.604,cluster29
426,40073.846,35438.513,cluster29
427,39889.44,35169.421,cluster29
428,39379.493,34186.458,cluster29
429,39237.892,33998.538,cluster29
430,39007.888,33835.082,cluster29
431,38781.522,33787.268,cluster29
432,38722.09,33956.284,cluster29
433,38530.421,33762.805,cluster29
434,38028.752,33775.036,cluster29
435,37675.867,33567.102,cluster29
436,37371.201,33388.078,cluster29
437,37168.984,33601.572,cluster29
438,37189.643,34058.583,cluster29
439,37208.986,34437.758,cluster29
440,37121.201,35029.315,cluster29
441,36929.589,35513.013,cluster29
442,36958.246,35379.579,cluster29
443,37080.484,35025.979,cluster29
444,37046.3,34902.553,cluster29
445,36790.121,34881.426,cluster29
446,36222.611,34836.948,cluster29
447,35812.934,34971.494,cluster29
448,35337.782,35318.422,cluster29
449,35098.507,35313.974,cluster29
450,34768.367,35140.51,cluster29
451,34167.117,35052.666,cluster29
452,33967.279,34957.038,cluster29
453,33838.617,34695.73,cluster29
454,33621.515,34662.372,cluster29
455,33457.741,35231.69,cluster29
456,33074.471,35359.564,cluster29
457,32376.619,35239.474,cluster8
458,31906.532,35033.763,cluster8
459,31938.351,34734.649,cluster8
460,31518.184,34756.888,cluster8
461,31488.438,34564.52,cluster8
462,30999.539,34376.601,cluster8
463,30668.224,34249.839,cluster8
464,30457.605,34285.421,cluster8
465,30093.634,34468.893,cluster8
466,29834.262,34602.327,cluster8
467,29510.255,34773.567,cluster38
468,29296.531,34740.208,cluster38
469,29250.874,34914.784,cluster38
470,28962.212,34729.089,cluster38
471,28781.21,34792.47,cluster38
472,28511.599,34725.753,cluster38
473,28371.327,34791.358,cluster38
474,28297.203,34869.195,cluster38
475,28375.863,34713.522,cluster38
476,28817.89,34299.876,cluster38
477,28892.869,34223.152,cluster38
478,29037.019,33816.179,cluster8
479,28955.878,33728.335,cluster8
480,28901.494,33745.014,cluster8
481,28346.064,34288.757,cluster38
482,28322.209,34313.22,cluster38
483,28286.418,34352.138,cluster38
484,28271.915,34372.153,cluster38
485,28246.338,34403.288,cluster38
486,28248.905,34397.728,cluster38
487,28404.652,34280.973,cluster38
488,28069.304,34540.058,cluster38
489,28393.123,34187.57,cluster38
490,29233.107,33371.399,cluster8
491,29477.68,33123.434,cluster8
492,29207.302,32584.139,cluster0
493,28849.637,32216.084,cluster0
494,28718.936,31762.408,cluster0
495,28561.14,31508.884,cluster0
496,28444.242,31214.217,cluster31
497,28430.813,31173.075,cluster31
498,28583.117,31534.459,cluster0
499,28882.283,31672.34,cluster0
500,29388.894,31731.274,cluster0
501,29721.216,31636.758,cluster0
502,29957.45,31582.272,cluster0
503,30057.921,31722.378,cluster0
504,30280.905,32218.307,cluster0
505,30097.005,32564.124,cluster0
506,29445.948,33206.83,cluster8
507,29359.426,33192.375,cluster8
508,28510.871,34021.889,cluster38
509,28170.132,34356.586,cluster38
510,28002.98,34346.578,cluster38
511,27943.021,34723.529,cluster38
512,27751.897,35232.802,cluster38
513,27627.645,35561.939,cluster17
514,27399.417,36252.459,cluster17
515,27467.753,36591.604,cluster17
516,27636.98,36716.142,cluster17
517,27778.93,36874.039,cluster17
518,27510.512,36499.312,cluster17
519,27516.813,36400.349,cluster17
520,27535.531,36385.893,cluster17
521,27744.34,36361.43,cluster17
522,27968.485,36548.238,cluster17
523,27967.773,36511.544,cluster17
524,27802.673,36418.14,cluster17
525,27538.901,36392.565,cluster17
