@relation taxi_clustered

@attribute Instance_number numeric
@attribute xValue numeric
@attribute yValue numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39}

@data
0,29502.119,33593.155,cluster28
1,29498.733,33599.348,cluster28
2,29274.696,33808.395,cluster28
3,29013.807,34113.069,cluster37
4,28604.275,34456.661,cluster37
5,28307.366,34874.754,cluster37
6,28001.988,35069.345,cluster37
7,27909.894,35189.436,cluster37
8,27950.197,34848.067,cluster37
9,28214.733,34910.337,cluster37
10,28158.334,34788.022,cluster37
11,27999.947,34933.688,cluster37
12,28034.582,35203.891,cluster37
13,27730.572,35262.825,cluster37
14,27613.052,35607.529,cluster37
15,27358.909,36425.923,cluster9
16,27139.779,36725.038,cluster9
17,27567.524,36453.722,cluster9
18,27934.412,36127.921,cluster9
19,28180.917,35782.105,cluster37
20,28158.208,35501.894,cluster37
21,27681.401,35480.767,cluster37
22,27538.399,35834.366,cluster37
23,27384.524,36381.446,cluster9
24,27481.579,36522.663,cluster9
25,27810.76,36066.764,cluster9
26,27591.439,35716.5,cluster37
27,27682.438,35429.617,cluster37
28,27816.301,35027.091,cluster37
29,27677.421,35409.602,cluster37
30,27442.79,36224.661,cluster9
31,27102.272,36067.876,cluster9
32,26577.563,36165.727,cluster9
33,26640.765,36288.042,cluster9
34,26637.568,36232.444,cluster9
35,26629.932,36232.444,cluster9
36,26358.823,36360.318,cluster9
37,26278.381,36557.133,cluster9
38,26382.328,36673.888,cluster9
39,26260.378,36610.507,cluster9
40,26079.598,36629.41,cluster9
41,25344.574,36967.443,cluster23
42,24958.7,37180.937,cluster23
43,24926.987,37790.285,cluster9
44,24842.119,38571.986,cluster9
45,24936.719,38692.076,cluster9
46,25335.184,38746.562,cluster9
47,25241.541,39101.273,cluster9
48,25231.647,39269.178,cluster9
49,25465.85,39233.595,cluster9
50,25510.929,39195.789,cluster9
51,25503.424,39157.983,cluster9
52,25478.998,39358.134,cluster9
53,25326.021,39200.237,cluster9
54,25120.357,39324.775,cluster9
55,25061.596,38634.255,cluster9
56,25433.576,38495.261,cluster9
57,25806.642,38290.662,cluster9
58,26134.604,37890.361,cluster9
59,26486.408,37474.492,cluster9
60,27047.867,36803.986,cluster9
61,27282.262,36504.872,cluster9
62,27518.377,36204.646,cluster9
63,27401.947,36256.907,cluster9
64,27416.704,36398.125,cluster9
65,27340.938,36468.178,cluster9
66,27123.579,36747.277,cluster9
67,26345.733,37674.643,cluster9
68,26227.32,38304.006,cluster9
69,26551.985,39802.913,cluster9
70,26500.852,40594.621,cluster9
71,25974.103,42355.949,cluster18
72,25518.855,43102.067,cluster18
73,25993.197,42228.075,cluster18
74,25153.504,45376.003,cluster18
75,24544.001,46213.301,cluster18
76,23292.474,47306.347,cluster18
77,22791.67,47617.693,cluster18
78,22286.956,48118.07,cluster18
79,22549.701,47791.157,cluster18
80,23197.438,47354.161,cluster18
81,23904.21,46760.38,cluster18
82,24264.51,46434.579,cluster18
83,24601.075,46121.009,cluster18
84,24643.534,46093.21,cluster18
85,25008.465,45668.446,cluster18
86,25346.121,43797.035,cluster18
87,25467.684,43193.247,cluster18
88,25938.891,42487.159,cluster18
89,26211.109,41490.852,cluster18
90,26541.494,40132.05,cluster9
91,26332.533,38778.808,cluster9
92,26179.493,37910.376,cluster9
93,26867.231,37020.816,cluster9
94,27315.65,36422.588,cluster9
95,27427.615,36197.974,cluster9
96,27397.21,36392.565,cluster9
97,27447.549,36548.238,cluster9
98,27851.764,36221.325,cluster9
99,28150.075,35861.053,cluster37
100,28452.427,35561.939,cluster37
101,28421.106,35092.696,cluster37
102,28080.108,34601.215,cluster37
103,28420.344,34170.89,cluster37
104,29584.176,33023.359,cluster28
105,30015.367,32600.818,cluster28
106,30794.075,31906.962,cluster29
107,31508.174,31064.104,cluster29
108,31967.439,30480.331,cluster29
109,33523.596,30158.977,cluster2
110,34116.98,29634.137,cluster2
111,35149.783,28870.228,cluster2
112,35882.348,28592.241,cluster16
113,36005.358,27910.616,cluster16
114,36207.569,27722.697,cluster16
115,35915.496,27873.922,cluster16
116,35717.052,27986.229,cluster16
117,35224.871,28249.761,cluster16
118,34962.903,28694.54,cluster2
119,34679.422,29022.565,cluster2
120,34008.4,29419.531,cluster2
121,33807.928,29620.794,cluster2
122,33783.862,29874.318,cluster2
123,33434.282,30193.448,cluster2
124,33240.284,30282.404,cluster2
125,32182.839,30345.785,cluster29
